number,n,p,corr,method,beta,s1,s21,s22,s23,s24,s25,s3,no_predictors,vadd_method,v1_bias,v2_bias,v3_bias,v4_bias,v5_bias,v1_variance,v2_variance,v3_variance,v4_variance,v5_variance,mse
12,100,300,0.7,1,close,5,4,4,4,4,4,20,41,5,0.24272102434214,0.26698541116563,0.266436404680011,0.262825554991523,0.282315852831006,0.632750523055601,0.767033326176092,0.643896828139997,0.712508825233171,0.701466214370697,6.45183084623531
12,100,300,0.7,1,close,5,4,4,4,4,4,20,42,5,0.251234762434761,0.266466889304147,0.265443541351875,0.261892042618459,0.280370860061236,0.679620679169891,0.770804915043381,0.636790115974213,0.727192114894083,0.714673327713565,6.33654235630618
12,100,300,0.7,1,close,5,4,4,4,4,4,20,43,5,0.256163914639207,0.267871541438484,0.26936974112641,0.271632893905196,0.280260354204627,0.727793974282067,0.772374633769374,0.656571251360743,0.746411173284426,0.719100794822445,6.19126755063735
12,100,300,0.7,1,close,5,4,4,4,4,4,20,44,5,0.260228664305984,0.266065860026826,0.270224274753503,0.279578568841429,0.274373370683308,0.737152483367311,0.774631106414343,0.648764582969364,0.78720829337692,0.697960667876205,6.08277185060198
12,100,300,0.7,1,close,5,4,4,4,4,4,20,45,5,0.261703495247616,0.264696978228036,0.267716344049625,0.280511113658013,0.273834005276804,0.753807054593539,0.770068568514534,0.644161034380244,0.787839222982165,0.684317747022689,5.97099963840413
12,100,300,0.7,1,close,5,4,4,4,4,4,20,46,5,0.258693685473284,0.261432567801598,0.260206988442084,0.281385252672697,0.276110087060004,0.741483854975283,0.759652723510176,0.61278486292221,0.794543971042893,0.699540338731492,5.85880778894382
12,100,300,0.7,1,close,5,4,4,4,4,4,20,47,5,0.260064246647424,0.257484496843789,0.258734926820414,0.281107841509083,0.27901795411792,0.769936896342862,0.748698072065139,0.601422952623323,0.791140168703078,0.726794777993899,5.74647906418555
12,100,300,0.7,1,close,5,4,4,4,4,4,20,48,5,0.262385877319522,0.251693623456449,0.253787035906916,0.284940259979488,0.270184801570203,0.780108461417817,0.739243415633368,0.588892069809665,0.803778118278517,0.704792245490172,5.65136630884573
12,100,300,0.7,1,close,5,4,4,4,4,4,20,49,5,0.264517251925553,0.25160642676074,0.252637113361511,0.277524874449298,0.267600294474123,0.772254455960402,0.751481206311864,0.579885236567087,0.791032779667549,0.685225298468487,5.53932535942684
12,100,300,0.7,1,close,5,4,4,4,4,4,20,50,5,0.264961436551417,0.250958904741011,0.255178537732451,0.279408403125485,0.269880526116788,0.778889233812695,0.76437529326253,0.585613798241473,0.826152015087773,0.698096858681795,5.4297691425948
12,100,300,0.7,1,close,5,4,4,4,4,4,20,51,5,0.264231081676921,0.252566671457155,0.25969607500625,0.277572066090704,0.279972700464153,0.79073376842506,0.764605627048666,0.608045572093052,0.805597817366687,0.747343776925369,5.32603495531582
12,100,300,0.7,1,close,5,4,4,4,4,4,20,52,5,0.264675930291097,0.253296997445109,0.266909549112309,0.279574153446564,0.283710628645439,0.793666466861663,0.767350015263637,0.63644324369515,0.810280112911601,0.780255274477569,5.21368948244056
12,100,300,0.7,1,close,5,4,4,4,4,4,20,53,5,0.266166482658387,0.25350954566849,0.27392528070448,0.280218719306084,0.281384127368289,0.812322406009989,0.757442472223673,0.693143168824338,0.844842232161328,0.778398545532019,5.0854629095621
12,100,300,0.7,1,close,5,4,4,4,4,4,20,54,5,0.269371778223279,0.259176658755967,0.269604768864988,0.278960960192167,0.283775139273737,0.845562347050758,0.774080171157508,0.687881390759389,0.832857106356671,0.784482374470943,4.96007395899346
12,100,300,0.7,1,close,5,4,4,4,4,4,20,55,5,0.280153093629354,0.260581533290556,0.26290099044672,0.282998497186357,0.286641264713564,0.898603604625414,0.784075604951434,0.673935934214349,0.861510051051013,0.799284776131902,4.84205883738896
12,100,300,0.7,1,close,5,4,4,4,4,4,20,56,5,0.282585649924471,0.264846640252578,0.271981217407605,0.285356929842031,0.293262143389147,0.912144605114669,0.780873128082144,0.734388139802167,0.891890840738578,0.820211093361975,4.72658020770962
12,100,300,0.7,1,close,5,4,4,4,4,4,20,57,5,0.296391773580645,0.272674999551594,0.28100856533476,0.290665154227958,0.293626365153034,0.922500824443902,0.827180214025944,0.759299644706807,0.907185067773238,0.820475777267271,4.61507205443222
12,100,300,0.7,1,close,5,4,4,4,4,4,20,58,5,0.303653039960798,0.277006334978906,0.28297539050571,0.292314515007601,0.300872889016293,0.978470127756344,0.860717493673236,0.764946308915046,0.916311796795772,0.860906256517874,4.504724297574
12,100,300,0.7,1,close,5,4,4,4,4,4,20,59,5,0.30468053607734,0.278793316404555,0.283230236628367,0.290906969517279,0.308161492164368,0.980481448899137,0.863226981324582,0.757107291920711,0.924700794658105,0.893796240985988,4.39967408495113
12,100,300,0.7,1,close,5,4,4,4,4,4,20,60,5,0.30731478435999,0.28826231383278,0.286065211289938,0.297891293013432,0.306090842429713,0.994258487232698,0.923691472955227,0.762571190127608,0.953712046725252,0.923467691332461,4.29802370571657
