number,n,p,corr,method,beta,s1,s21,s22,s23,s24,s25,s3,s1_selected,s2_selected,s3_selected,no_selected,cv_lambda,vselec_method,s1_prop,s2_prop,s3_prop
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,115,6.25490260633328e-15,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,108,5.3283676380058e-15,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,58,0.023108955094702267,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,68,0.010366889261210325,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,78,0.0026535319171305475,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,66,0.0064086912606503635,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,43,0.04754435641726351,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,69,0.008150962679858665,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,63,0.014285689258041684,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,56,0.023108955094702267,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,53,0.02939137226097748,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,155,5.523859724622305e-17,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,52,0.025037645931273767,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,72,0.008150962679858665,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,90,4.640343976261399e-14,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,155,5.523859724622305e-17,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,155,5.5238597246223045e-17,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,84,0.001777290384010133,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,30,0.07098472391887985,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,155,5.523859724622305e-17,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,55,0.02132883446929541,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,155,5.523859724622305e-17,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,63,0.014285689258041684,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,44,0.05151244429388444,Lasso,1,1,1
